PassengerId,Survived
892,0.91640365
893,0.49900362
894,0.9033494
895,0.88572806
896,0.4776435
897,0.8053372
898,0.19834402
899,0.8275173
900,0.58943707
901,0.9202024
902,0.8644125
903,0.85394704
904,0.0006165748
905,0.92484707
906,0.022434805
907,0.04360726
908,0.78200614
909,0.76979876
910,0.64732605
911,0.59745216
912,0.7439574
913,0.88002986
914,0.16108908
915,0.58723116
916,0.07260332
917,0.9123171
918,0.0006521729
919,0.77161133
920,0.6376016
921,0.81858736
922,0.970471
923,0.85412043
924,0.16568176
925,0.8478439
926,0.52259296
927,0.7439029
928,0.61776716
929,0.65105987
930,0.89938354
931,0.8145
932,0.89050853
933,0.29900557
934,0.4429004
935,0.07866068
936,0.008352804
937,0.9279361
938,0.78380144
939,0.93081343
940,0.0024146056
941,0.6640368
942,0.7069921
943,0.77263075
944,0.06360606
945,0.39766553
946,0.8987213
947,0.94893175
948,0.7800722
949,0.89808136
950,0.9107835
951,0.19479121
952,0.84740174
953,0.9048957
954,0.8581489
955,0.16619085
956,0.34530178
957,0.020405233
958,0.11913933
959,0.68494034
960,0.59387356
961,0.2066733
962,0.1720549
963,0.882518
964,0.6096352
965,0.6133977
966,0.13589957
967,0.5387544
968,0.86904544
969,0.06948083
970,0.9029911
971,0.1720549
972,0.018656176
973,0.81135607
974,0.8910029
975,0.8644125
976,0.8067279
977,0.85193485
978,0.17575808
979,0.8259568
980,0.17582904
981,0.0046406435
982,0.4574455
983,0.8607418
984,0.0009813397
985,0.86904544
986,0.6198592
987,0.8791283
988,0.071713
989,0.9412393
990,0.6417173
991,0.95661676
992,0.02517482
993,0.7957513
994,0.93081343
995,0.8719461
996,0.47180808
997,0.7434238
998,0.911611
999,0.93081343
1000,0.886683
1001,0.80552197
1002,0.8170466
1003,0.17581087
1004,0.0762307
1005,0.13860478
1006,0.007383051
1007,0.7117978
1008,0.8866204
1009,0.027066698
1010,0.34289774
1011,0.027897943
1012,0.012226172
1013,0.9264601
1014,0.014666665
1015,0.83218914
1016,0.93081343
1017,0.63668674
1018,0.88659585
1019,0.08004096
1020,0.77256626
1021,0.88750815
1022,0.55640256
1023,0.7692029
1024,0.6615243
1025,0.9344056
1026,0.7675478
1027,0.8855369
1028,0.8086707
1029,0.8905003
1030,0.09358683
1031,0.936837
1032,0.88619226
1033,0.0052576787
1034,0.5720698
1035,0.70921165
1036,0.7707099
1037,0.95348763
1038,0.47302145
1039,0.95385724
1040,0.656846
1041,0.8380137
1042,0.0011453246
1043,0.7696588
1044,0.9995338
1045,0.7293438
1046,0.9583419
1047,0.90522414
1048,0.41635793
1049,0.6267562
1050,0.7035376
1051,0.14608152
1052,0.17583941
1053,0.02316325
1054,0.07881612
1055,0.8357632
1056,0.78089947
1057,0.7044026
1058,0.6255495
1059,0.9528834
1060,0.031479035
1061,0.64864945
1062,0.91711444
1063,0.8179892
1064,0.90033436
1065,0.8175587
1066,0.96517056
1067,0.00886178
1068,0.009166032
1069,0.6595342
1070,0.0055413046
1071,0.01261975
1072,0.9029911
1073,0.40926972
1074,0.0011513765
1075,0.93081343
1076,0.32306185
1077,0.8967072
1078,0.06783813
1079,0.9721061
1080,0.9688427
1081,0.7919063
1082,0.83021635
1083,0.65603596
1084,0.5558943
1085,0.70400673
1086,0.0069958474
1087,0.79589385
1088,0.3752483
1089,0.64892936
1090,0.91807777
1091,0.6183101
1092,0.10257544
1093,0.028047686
1094,0.75564307
1095,0.0052431994
1096,0.91553575
1097,0.5515139
1098,0.23151743
1099,0.88305396
1100,0.08154493
1101,0.88105726
1102,0.7788582
1103,0.5636873
1104,0.8340867
1105,0.14191589
1106,0.7358289
1107,0.62130547
1108,0.17575808
1109,0.70487314
1110,0.0033712299
1111,0.86904544
1112,0.14996155
1113,0.8824577
1114,0.026039975
1115,0.88255715
1116,0.40959272
1117,0.60473526
1118,0.8854384
1119,0.17582904
1120,0.95500815
1121,0.8475676
1122,0.24348445
1123,0.047892384
1124,0.8711707
1125,0.9296204
1126,0.6499051
1127,0.8760952
1128,0.15008134
1129,0.7596272
1130,0.051546447
1131,0.0061444514
1132,0.13028808
1133,0.079128824
1134,0.028341375
1135,0.8641592
1136,0.93922573
1137,0.40318224
1138,0.016703583
1139,0.87145805
1140,0.07416154
1141,0.6299474
1142,4.5609893e-05
1143,0.85573065
1144,0.6636881
1145,0.89529604
1146,0.8514621
1147,0.9638811
1148,0.9758965
1149,0.8577119
1150,0.0643239
1151,0.8825653
1152,0.95276177
1153,0.8825343
1154,0.06818164
1155,0.05285615
1156,0.872577
1157,0.8644125
1158,0.9979418
1159,0.9638811
1160,0.7907318
1161,0.8420706
1162,0.53140163
1163,0.93081343
1164,0.011091432
1165,0.08509817
1166,0.8179892
1167,0.053624257
1168,0.8917773
1169,0.9115314
1170,0.88415164
1171,0.9377983
1172,0.6348799
1173,0.054769866
1174,0.17582904
1175,0.11875999
1176,0.07641103
1177,0.9764632
1178,0.5721866
1179,0.41374904
1180,0.90968347
1181,0.94190586
1182,0.70559883
1183,0.22329752
1184,0.8175587
1185,0.7793242
1186,0.81445074
1187,0.8755478
1188,1.2547e-05
1189,0.81858736
1190,0.6950157
1191,0.8393982
1192,0.8043308
1193,0.28660873
1194,0.95680106
1195,0.8943148
1196,0.17582904
1197,0.20370565
1198,0.7530186
1199,0.023091258
1200,0.5867937
1201,0.64927846
1202,0.85209495
1203,0.7729604
1204,0.9686452
1205,0.24649763
1206,0.0020157248
1207,0.25863788
1208,0.062680095
1209,0.85525954
1210,0.863143
1211,0.85420346
1212,0.8719461
1213,0.90487105
1214,0.8616199
1215,0.617241
1216,0.08659382
1217,0.6260136
1218,0.0010028204
1219,0.6626778
1220,0.7943353
1221,0.8580651
1222,0.030947208
1223,0.68371415
1224,0.8179892
1225,0.31473804
1226,0.8644125
1227,0.52833164
1228,0.8997732
1229,0.9970612
1230,0.7049288
1231,0.8175587
1232,0.8591922
1233,0.7980022
1234,0.8000008
1235,0.3252382
1236,0.9149954
1237,0.63118804
1238,0.8905003
1239,0.37898332
1240,0.88048154
1241,0.023320824
1242,0.0055076596
1243,0.8157875
1244,0.8442711
1245,0.87400854
1246,0.0047325245
1247,0.5119818
1248,0.06327235
1249,0.86390567
1250,0.93081343
1251,0.6241155
1252,0.9933448
1253,0.024859516
1254,0.03557564
1255,0.88572806
1256,0.0020559975
1257,0.20564984
1258,0.8518824
1259,0.3588188
1260,0.017044758
1261,0.77884895
1262,0.9062715
1263,7.7831835e-05
1264,0.9999709
1265,0.7592898
1266,0.020770416
1267,0.19333194
1268,0.27259153
1269,0.8676348
1270,0.64837956
1271,0.87688553
1272,0.93081343
1273,0.9309242
1274,0.62975544
1275,0.6898129
1276,0.8899664
1277,0.0092888735
1278,0.8839721
1279,0.68593323
1280,0.9145969
1281,0.8527936
1282,0.32182646
1283,0.028570868
1284,0.13527265
1285,0.7957112
1286,0.93054825
1287,0.008792082
1288,0.9396654
1289,0.0020026423
1290,0.886342
1291,0.91999257
1292,0.14937502
1293,0.94225746
1294,0.003504111
1295,0.6668154
1296,0.44201666
1297,0.3473777
1298,0.91430914
1299,0.66339934
1300,0.17584723
1301,0.035813093
1302,0.17582904
1303,0.0011148698
1304,0.6105918
1305,0.94190586
1306,0.0028010616
1307,0.43902594
1308,0.86904544
1309,0.76582897
